Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
New Zealand,NZL,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,17.0904296597936,16.8974143824974,16.7597517402594,16.8073798286529,17.0698568184318,17.9474275333411,18.3612009023046,18.428481890793,19.7417839139069,19.7324036945952,19.6516168275646,19.5615885966146,19.3450987950038,18.7337391916607,18.7562006775977,18.4818972567095,18.1231524736147,17.904225778071,18.2215201028808,18.852086342506,20.4371940676521,21.0705871213176,20.8745105114568,..
Germany,DEU,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,18.860569292751,18.7505067113635,19.0132502158895,19.0734600434664,18.5669242577539,18.4739713893822,18.0172946772292,17.5553649959484,17.9538713464747,19.6050072775535,19.1827581196516,18.6995569567259,18.9052184847532,19.2533699868829,19.2146344242026,19.3036024917153,19.5245695901052,19.4478730074915,19.4857645390401,19.8895196309028,21.7243937497102,21.6396095960721,21.3296017686915,21.0588698152068
Netherlands,NLD,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,20.5466274207138,20.9466580803866,22.0454920550963,22.8078795729665,22.4106566736836,22.1894988808979,23.0747101000266,23.0999959857091,23.3458058433991,25.7776832711017,26.0868212907179,25.5644324121626,25.8184044531411,25.591112540135,25.4138134792751,24.6510530267816,24.2777102787517,23.9046907483542,23.9575090216481,24.1193009603901,25.419278032195,25.1515899276541,24.1995532390171,24.9106541742808
Belgium,BEL,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,21.0401971476314,21.3136063380204,22.1388815392458,22.4843723439742,22.1972126513166,22.093997631255,21.9387885339603,21.6158948183584,22.6661446948071,24.1041091935264,23.7260022508386,23.8730556199494,24.1930798182891,24.205791803329,24.1169029008666,23.681203644432,23.3498908084191,23.1178023270709,23.1696191313969,23.0038112825895,24.3008045914304,23.8396339313803,23.5865586358746,23.5329643613137
Austria,AUT,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,19.3282687281008,19.0757989319958,18.9765669389252,19.088358925098,19.0332382539184,19.4781411306907,19.3952174935544,18.8623416708543,19.3986351091914,20.812093929858,20.6211987878032,20.0232182516466,19.9901506497011,20.0845066022548,19.9847608163281,19.8879548545364,19.7584191442748,19.598940636538,19.4423168006638,19.5313211345866,21.1529340170726,21.7317961073693,20.4896150467344,20.2679436557872
Denmark,DNK,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,23.8904895144931,24.3116116711211,24.8477658486744,25.0007505768517,24.8732294572073,24.4356057323132,24.1607314049511,24.2779391801677,24.9864493189355,27.8156943528533,27.3361076692926,26.5405591973408,26.5003228378334,25.9285043343491,25.7974203785069,25.5463558237146,24.9429154800128,24.4496622577768,24.3811073900807,24.2047767614883,24.6799875258246,23.9787227305152,21.7803158451184,22.617097497429
Sweden,SWE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,24.5255368392648,24.7267628665785,25.4018261314798,25.7330801322272,25.0585813234744,24.9303156303092,24.6622051843481,24.2059275965503,24.7855683275877,26.1322419215826,25.1879057776486,25.0926024146402,25.8787030187985,26.3184051620825,26.2755994072154,25.8977209771077,26.4988102124362,26.3066887513623,26.3346572936666,25.8980495807728,26.5741578401929,25.9763998405245,25.5364171916894,26.3170240463134
Norway,NOR,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,18.8635586549089,20.0319395828706,21.6263198105035,21.9413888965855,20.7439309264519,19.3734517687955,18.5676383035241,18.6493453448771,18.400463744239,21.4990129982555,21.2265832895452,20.790418547942,20.6096915874254,20.9790524328269,21.7227596135843,23.0978508285298,24.2188229593057,23.8057622649674,23.112939424551,24.1035080681146,26.1340574738378,22.4493406578412,18.0964798823633,22.0477897050686
Finland,FIN,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,19.7454284164064,19.9276690200743,20.6339261654541,21.1015463305957,21.1867129475057,21.4142567378815,21.3252266271744,20.7683137405845,21.5662048977365,24.0691116185655,23.6857350901157,23.4018871265589,24.1763067801854,24.6357440158823,24.6314153166064,24.5228172337672,23.868772512134,22.9490979324095,23.0551303335418,23.318575537276,24.4205476612504,24.7953884002508,24.1490221128375,25.6197589866886
Japan,JPN,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,16.549191407008,17.2289905143177,17.7749067788644,17.8364695899716,17.7233548337375,17.7438933244397,17.595075361072,17.6343087480996,18.025030322619,19.3337393097808,19.2025962424431,19.885399284228,19.9573325085164,19.854370134417,19.9261773555302,19.617744139153,19.6572481017318,19.4117955495929,19.5636743323798,19.9451059201578,20.9756766472836,21.2457665716874,21.5663525457355,..
"Korea, Rep.",KOR,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,10.5657622556615,11.3505361029289,11.3173666243086,11.6926460752812,11.8856980801376,12.3342666695472,12.8064371013535,12.8258089855345,13.3680401279198,13.9553200396238,13.5041083461487,13.7084319244367,14.0026335270874,14.2597016228901,14.4870309446874,14.3464638758806,14.4415307448348,14.5742094583287,15.1402621209188,16.06298714056,16.9828462110022,17.0244387167472,17.6379104489815,17.7751832803211
Switzerland,CHE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,11.1598909444037,11.1637674855913,11.542897557961,11.7348935607647,11.5149095992384,11.2482518062864,10.7427651651168,10.4244100328755,10.5706989010013,11.3846246387676,11.1836121803075,11.2755715577404,11.3149273831192,11.4125791729509,11.4816364729739,11.5375670168373,11.5149617444437,11.5093914980384,11.2649207517523,11.3549037641088,12.1264545910032,11.9159806875632,11.2347528038153,11.2574218352381
United States,USA,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,14.0239517400802,14.5356379493206,15.0590355024837,15.2436331781727,15.158309850606,15.047143394,15.0044511883738,15.1892879283282,15.9340733958399,16.8076950275681,16.6858457892174,16.098427999507,15.4758416244692,15.0253298264668,14.5992974323344,14.3028948337723,14.1928765356073,13.9429433442707,13.9274534549159,14.1009184202812,15.0912418134706,14.4381701420122,13.9429723365358,..
United Kingdom,GBR,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,16.5805392850386,17.1973730641732,18.0900450844853,18.7759702558887,19.3341636884646,19.5345943592335,19.7128707512449,19.5927252761275,20.2703503957329,21.8398042843264,21.4325808449976,20.8042181029914,20.6413631115148,20.0423459760144,19.7332253904663,19.4312702799147,19.0926073260822,18.5281767976876,18.3768895986708,18.934726344575,22.3849730788057,21.9023771103032,20.3875396220537,20.2413809642158
Canada,CAN,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,19.1064161806335,19.5093203790186,19.7787192119877,19.8962017689692,19.4174844503805,19.0759109803014,19.2487641773811,19.2505356033619,19.7194394824506,21.9645855050549,21.4754574603582,21.1458668604215,21.0578451788387,20.7043347111761,20.266560128167,20.8778251262785,21.0480401948524,20.7033313853187,20.6814326967462,20.6634960880685,22.7011077555498,21.2842897783513,20.4184233971953,20.9054437744776
Australia,AUS,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,18.5054297476964,18.5070065635388,18.3184304823244,18.380148276325,18.273055942949,18.3520869968606,18.2757770078967,18.1383906967195,18.053978978852,18.3714140093164,18.7746025195731,18.6079623317755,18.8350599059489,18.7749964695624,18.6961228698943,19.1109568570267,19.8952681410756,19.8687250416928,19.9423017325165,20.2893843805062,21.8138607927779,22.3669467050339,22.0179536839799,21.2449452137028
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
