Country,% Change 2019-2020,% Change 2020-2021,% Change 2021-2022,% Change 2022-2023,% Change 2023-2024
Germany,-4.049690308262266,0.2435508497739275,-1.3506230444647231,3.3756544354011973,-4.92889381119887
Sweden,-4.016134065456091,1.9287051575952046,6.101063871363412,-2.134081980590923,-2.9103926037133876
United States,-3.879278632044305,0.7649411555414984,,,
