Country,GDP Growth Annual % 2019,GDP Growth Annual % 2020,GDP Growth Annual % 2021,GDP Growth Annual % 2022,GDP Growth Annual % 2023,GDP Growth Annual % 2024
Sweden,2.60823012869524,-1.9337970403221618,5.225864302877298,1.2554362044581637,-0.20406130489143948,0.820071806703865
Germany,0.9777346970387839,-4.131914432399469,3.9099999420410825,1.8092581243060977,-0.8696475785733213,-0.4958518972603656
United States,2.5838253341282496,-2.163029140361658,6.055052932445548,2.512375319860169,2.887556007494865,2.7930012771677895
