Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
New Zealand,35.7454584901409,35.4310398408851,32.8470717038637,29.8397254017245,29.5434106069527,28.2851654320382,29.6086137531685,29.2731139479196,32.0052043552236,28.6654584101329,30.197296130602,30.3601069067379,28.8015197819443,28.7976232386808,27.9544041792052,27.9337478332662,26.6113743203496,27.5634416584186,27.8656152284463,27.3298341875002,21.6971482843436,22.3098859845046,24.0473873191656,23.7150117429638
Germany,29.6806532498145,30.5604113813066,31.1904504893495,31.2678451095809,33.9352126434777,35.9531497908166,38.9694499171537,40.6368056265783,40.9488738182043,35.4545162932994,39.4953465429823,41.6436286591115,42.6855834357406,41.6802838324356,41.6936675523627,42.5853976151835,41.6355419518592,42.2029575981591,42.4968914074717,42.3402444816356,39.1198068808828,42.5198379291429,45.6284043425185,42.9672624196847
Netherlands,66.4429411465509,63.3725444723061,60.1048715353519,59.2393489233853,62.5959181523516,65.5858924432585,68.1457296355057,68.7100477700614,69.6056649864348,61.6018141050156,69.2873649735157,75.1751870770854,79.5755903693531,80.3711722486241,81.3822615368973,83.9918475345943,80.9095011629118,85.1795472131327,87.0564594492635,85.3209394926528,81.2415259478997,86.4500028041052,96.4436215813729,87.4860612893795
Belgium,72.5473951580567,71.6119589202939,70.8312976956765,69.0365085088844,70.906277447218,74.2828289213953,76.8049970552189,78.3018047028263,80.8806199752035,68.5960770690546,75.8282898692443,80.2713643518839,80.0489721342421,78.9114134413606,79.3965205800202,77.8777392199991,79.6181317071952,83.4444050525116,83.4830567161373,82.9674275396401,79.1968705613294,89.6253551052155,94.4213446744405,82.7431955739295
Austria,43.591091462861,44.8518101806208,45.6510533943756,44.8257225915126,47.2191991038628,48.9511516701756,51.2031559330564,52.8904832388178,53.5983913417575,45.4869106822459,51.5839821122491,54.2920768831722,54.325492441456,53.8898209853854,53.8561570961341,53.3960122723239,52.6634020833052,54.3260296753968,55.7022394735073,55.8958073929339,51.6630899700616,55.9539450675875,61.4273121186873,58.4867595713944
Denmark,44.8786835833686,45.5295862400865,45.6653553506862,43.7731471646248,43.821544808921,47.3751212346545,50.6843661293202,51.3974872348582,53.9709187280921,46.9989097546293,50.5907805356338,54.0836272472402,55.0808426058575,54.9209092360852,54.8334037514843,55.8143215733858,53.7439528985173,55.3459515613736,56.9833683807386,58.9506079167167,55.0368973244514,59.2073478715957,70.7552148776405,69.3143620591443
Sweden,43.245425579392,42.8995075024433,41.1616688311214,40.3360837488571,42.7189306670309,45.3316169745966,47.5983472649069,47.7240209109834,49.0140992896845,43.4591254566978,44.8770299089346,45.4141189699788,44.8335680407679,42.736274814874,43.4587323957165,43.7114624281719,42.9375471367813,43.9177471861903,45.9408514773526,48.2886583812982,44.2873771533388,47.4842370278491,54.3120633586152,55.1958779701806
Norway,45.612776085856,44.9851535831821,40.4688823606507,39.6723098094631,41.11014734445,43.4420594110174,44.5373237369717,42.9575531295574,46.2181008986951,39.8101497225902,40.150329072743,41.6612661743411,41.2870648544023,39.8613095344032,39.7276720425482,38.5751887349717,35.9381714261875,36.7322649944946,38.2210272883516,36.640925320627,32.2103377797679,43.0363019206366,55.4998207714937,47.9120990269837
Finland,42.0483040781312,39.7682089438709,39.1471301535974,37.3294488313537,38.6195122873108,40.2785031518346,43.0831708713938,43.8289523626236,44.9027814242251,36.0833081134619,38.4130493709706,38.9673926791632,38.9349130144028,38.250195334575,36.8060042262758,35.7815711349623,35.3333302428645,38.1663150961701,39.1492205860158,40.6183181143561,36.2143434283611,39.9217732469328,46.2847802806846,42.7930569401278
Japan,10.4634942027505,10.0767999632844,10.8554456072287,11.4658015766594,12.7862646247862,13.8158957221159,15.6573740466117,17.2891273707229,17.2355433764071,12.41956574798,14.9185034496428,14.7744622613499,14.4147746129824,15.7841567318773,17.4186553484795,17.4367598376529,16.0579692360598,17.5914391047836,18.3149455985223,17.4635264275221,15.5331828643222,18.1091919388618,21.5464241239166,21.8515912402593
