Country,Export Dependency % GDP 2019,Export Dependency % GDP 2020,Export Dependency % GDP 2021,Export Dependency % GDP 2022,Export Dependency % GDP 2023,Export Dependency % GDP 2024
Sweden,48.28865838129822,44.28737715333877,47.48423702784915,54.31206335861523,55.19587797018063,54.30958097244712
Germany,42.34024448163561,39.11980688088283,42.51983792914288,45.62840434251853,42.96726241968474,41.43405937209082
United States,11.876871223589248,10.214105530239198,10.96041677155586,11.784404629324289,11.184412640268723,11.107456689367437
