Country,Union Density 2019,Union Density 2020,Union Density 2021,Union Density 2022,Union Density 2023,Union Density 2024
Sweden,65.5999984741211,67.0,67.0,65.5,65.19999694824219,65.9000015258789
Germany,15.100000381469727,15.100000381469727,14.800000190734863,14.399999618530273,14.300000190734863,14.100000381469727
United States,10.300000190734863,10.800000190734863,10.300000190734863,10.100000381469727,10.0,9.899999618530273
